player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Clément Lenglet,Tottenham,27,13,11,935,0,0,0.19,0.67,0,15.7,0,0,69.2,60.8,1143,3.94,0.38,0.29,0.48,0,0.48,1.06,0.29,2.89,0.96,2.21,1.06,8.65,39.5,0.77,5,0.19,0,0,0.77,0.96,0,0,0
Bernd Leno,Fulham,30,21,21,1890,0,0,0,0,0,0,0,0,37,29.1,725.6,0.38,0,0,0.05,0,0.05,0.1,0,0,0,0.38,0,31,39.4,0,0,0.1,0,0,0,0.05,0,0,0
Jefferson Lerma,Bournemouth,28,22,22,1973,0.05,2,0,0.73,0.14,16.2,0,0,43.2,35.3,553.3,3.11,0.59,0.05,0.41,0,0.55,1.28,0,1.56,1.1,1.92,1.14,5.62,18.3,1.23,8.68,0.14,0,0,0.91,1.14,0.09,0,0.09
Jamal Lewis,Newcastle Utd,25,1,0,8,0,0,0,0,0,0,0,0,120,100,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,50,0,0,0,0,0,0,0,0
Rico Lewis,Manchester City,18,9,5,453,0,0,0,0.2,0.2,26.3,0,0,69.2,63.6,920.6,3.2,1.2,0.6,1.2,0,1.2,2.2,0,0.8,0.4,0,0.2,1.8,12.4,1.2,20.6,0.2,0,0,0.8,1.6,0,0,0
Keane Lewis-Potter,Brentford,21,9,3,306,0,0,0.29,2.06,0.59,14.1,0,0,20.6,11.8,143.8,0,0.59,0.29,1.47,0,1.76,2.35,0.59,2.94,0,0.59,1.18,1.18,6.18,5.29,18.2,0,0,0,0.29,1.18,0.29,0,0
Victor Lindelöf,Manchester Utd,28,8,4,452,0,0,0,0,0,0,0,0,63.2,58.4,1029.8,3.4,0,0,0,0,0,0,0,2,1,2.4,1,8.6,36,0,2,0,0,0,0.4,0,0,0,0
Jesse Lingard,Nott'ham Forest,30,14,11,861,0,0,0,1.04,0.21,19.3,0,0,27.7,22,329.2,2.71,0.73,0.1,1.04,0,1.1400000000000001,2.5,0.21,2.08,0.42,0.1,0.21,0.73,4.27,1.46,12.4,0.1,0,0,0.83,0.83,0.21,0,0
Diego Llorente,Leeds United,29,8,7,649,0,0,0,0.83,0,12.5,0,0,59.6,49.4,967.9,2.36,0,0,0,0,0,0.83,0.14,1.67,2.08,2.5,0.97,8.19,39.3,0.83,2.08,0.14,0,0,0.83,0.28,0,0,0
Hugo Lloris,Tottenham,36,21,21,1890,0.05,0,0,0,0,0,0,0,29.8,23.5,566,0.57,0,0,0,0,0,0.24,0,0,0.05,0.29,0.14,29.7,32.4,0,0,0,0,0,0,0.1,0,0,0
